Rev, Name, Targeted, Satellite, Epoch_SCET, DOY, Alt_km, in_out, Speed_km_s, Phase_deg
0, 00PH, PH, Phoebe, 2004-Jun-11 19:34, 163, 2068, in, 6.4, 24
0, 00PO, , Polydeuces, 2004-Jun-30 20:57, 182, 67991, in, 13.3, 90
0, 00CA, , Calypso, 2004-Jun-30 22:27, 182, 52100, in, 14.1, 92
0, 00ME, , Methone, 2004-Jul-01 00:16, 183, 51202, in, 12.9, 96
0, 00MI, , Mimas, 2004-Jul-01 00:30, 183, 76488, in, 22.3, 80
0, 00PA, , Pandora, 2004-Jul-01 01:16, 183, 89854, in, 26.8, 89
0, 00JA, , Janus, 2004-Jul-01 01:51, 183, 67682, in, 12.8, 106
0, 00PM, , Prometheus, 2004-Jul-01 03:57, 183, 107413, out, 28.5, 91
0, 00PN, , Pan, 2004-Jul-01 04:02, 183, 57684, out, 22.8, 88
0, 00AE, , Aegaeon, 2004-Jul-01 04:21, 183, 112910, out, 26.0, 94
0, 00TI, , Titan, 2004-Jul-02 09:29, 184, 339120, out, 8.3, 67
A, 0ATI, TA, Titan, 2004-Oct-26 15:30, 300, 1174, in, 6.1, 91
B, 0BTI, TB, Titan, 2004-Dec-13 11:38, 348, 1192, in, 6.1, 102
B, 0BDI, , Dione, 2004-Dec-15 01:41, 350, 72067, in, 5.3, 84
B, 0BMI, , Mimas, 2004-Dec-15 05:02, 350, 106750, in, 1.6, 90
B, 0BAE, , Aegaeon, 2004-Dec-15 05:43, 350, 121062, in, 1.0, 108
C, 0CIA, , Iapetus, 2004-Dec-31 18:49, 366, 123401, in, 2.0, 94
C, 0CTI, TC, Titan, 2005-Jan-14 11:12, 014, 60003, in, 5.4, 93
C, 0CME, , Methone, 2005-Jan-16 04:58, 016, 113120, in, 1.8, 78
C, 0CMI, , Mimas, 2005-Jan-16 06:08, 016, 107630, in, 1.3, 100
C, 0CPL, , Pallene, 2005-Jan-16 07:26, 016, 90824, out, 2.4, 138
3, 03TI, T3, Titan, 2005-Feb-15 06:58, 046, 1579, in, 6.0, 99
3, 03PA, , Pandora, 2005-Feb-16 23:03, 047, 102609, in, 1.6, 62
3, 03EP, , Epimetheus, 2005-Feb-17 00:10, 048, 73455, in, 2.9, 78
3, 03AT, , Atlas, 2005-Feb-17 00:23, 048, 76935, in, 1.6, 96
3, 03CA, , Calypso, 2005-Feb-17 00:35, 048, 83229, in, 6.9, 67
3, 03AE, , Aegaeon, 2005-Feb-17 01:23, 048, 107572, out, 8.3, 157
3, 03EN, E0, Enceladus, 2005-Feb-17 03:30, 048, 1261, out, 6.7, 113
3, 03PO, , Polydeuces, 2005-Feb-17 08:48, 048, 6447, out, 8.6, 121
4, 04HE, , Helene, 2005-Mar-09 04:33, 068, 74491, in, 6.5, 67
4, 04EN, E1, Enceladus, 2005-Mar-09 09:08, 068, 497, in, 6.6, 43
4, 04AT, , Atlas, 2005-Mar-09 11:29, 068, 73847, in, 1.6, 108
4, 04TE, , Tethys, 2005-Mar-09 11:44, 068, 82863, out, 6.9, 64
5, 05TE, , Tethys, 2005-Mar-29 18:46, 088, 108638, in, 12.2, 124
5, 05EN, , Enceladus, 2005-Mar-29 20:32, 088, 55573, in, 9.7, 134
5, 05PL, , Pallene, 2005-Mar-29 21:48, 088, 30587, in, 7.0, 137
5, 05AT, , Atlas, 2005-Mar-29 22:01, 088, 97311, in, 1.4, 68
5, 05EP, , Epimetheus, 2005-Mar-29 23:25, 088, 62012, in, 2.3, 102
5, 05ME, , Methone, 2005-Mar-30 00:51, 089, 52681, out, 7.4, 82
5, 05TL, , Telesto, 2005-Mar-30 01:32, 089, 74532, out, 6.5, 61
5, 05PO, , Polydeuces, 2005-Mar-30 05:59, 089, 104025, out, 6.0, 59
5, 05TI, T4, Titan, 2005-Mar-31 20:05, 090, 2404, out, 5.9, 66
6, 06PL, , Pallene, 2005-Apr-14 20:31, 104, 119294, in, 16.6, 115
6, 06ME, , Methone, 2005-Apr-14 20:52, 104, 50424, in, 12.3, 118
6, 06EP, , Epimetheus, 2005-Apr-15 00:14, 105, 46180, out, 9.8, 80
6, 06MI, , Mimas, 2005-Apr-15 01:25, 105, 82488, out, 14.0, 94
6, 06CA, , Calypso, 2005-Apr-15 04:21, 105, 70532, out, 12.5, 115
6, 06TI, T5, Titan, 2005-Apr-16 19:12, 106, 1027, out, 6.1, 127
7, 07HE, , Helene, 2005-May-02 19:19, 122, 114175, in, 9.9, 107
7, 07TE, , Tethys, 2005-May-02 21:48, 122, 51856, in, 9.3, 110
7, 07EP, , Epimetheus, 2005-May-02 23:03, 122, 118461, in, 6.2, 46
7, 07TL, , Telesto, 2005-May-03 06:15, 123, 108306, out, 8.3, 98
7, 07TI, , Titan, 2005-May-04 05:37, 124, 864240, out, 10.3, 154
8, 08AT, , Atlas, 2005-May-21 06:30, 141, 99861, out, 6.7, 145
8, 08PM, , Prometheus, 2005-May-21 06:48, 141, 107600, out, 6.9, 153
8, 08EN, , Enceladus, 2005-May-21 08:13, 141, 101965, out, 8.8, 86
9, 09TI, , Titan, 2005-Jun-06 19:05, 157, 425570, in, 5.8, 83
9, 09PL, , Pallene, 2005-Jun-08 9:57, 159, 64545, in, 7.0, 56
9, 09CA, , Calypso, 2005-Jun-08 10:24, 159, 97710, in, 7.8, 64
10, 10TI, , Titan, 2005-Jun-22 12:37, 173, 920615, in, 3.7, 65
10, 10TI, , Titan, 2005-Jun-26 07:10, 177, 874592, in, 7.7, 111
10, 10PN, , Pan, 2005-Jun-26 14:23, 177, 94955, in, 6.2, 84
10, 10TL, , Telesto, 2005-Jun-26 14:48, 177, 87058, in, 8.0, 64
11, 11PM, , Prometheus, 2005-Jul-14 19:31, 195, 122149, in, 6.1, 51
11, 11EN, E2, Enceladus, 2005-Jul-14 19:55, 195, 166, in, 8.2, 64
11, 11ME, , Methone, 2005-Jul-14 20:48, 195, 36705, in, 7.6, 110
11, 11EP, , Epimetheus, 2005-Jul-14 20:55, 195, 76770, in, 6.3, 84
11, 11AE, , Aegaeon, 2005-Jul-14 22:11, 195, 118582, out, 11.1, 163
12, 12DA, , Daphnis, 2005-Aug-02 03:58, 214, 102509, in, 6.1, 68
12, 12MI, , Mimas, 2005-Aug-02 04:21, 214, 61149, in, 6.1, 58
12, 12PM, , Prometheus, 2005-Aug-02 05:17, 214, 84971, in, 6.3, 111
12, 12CA, , Calypso, 2005-Aug-02 07:47, 214, 106192, out, 7.1, 73
12, 12TI, , Titan, 2005-Aug-02 15:55, 214, 939763, out, 6.5, 35
